Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
bottomless portafilter rocket,5,0,69,0,7.25%,0%,6.22,0
profitec 4 hole steam tip,5,16,66,80,7.58%,20%,7.12,4.67
slayer 1 group price,5,0,63,0,7.94%,0%,7.97,0
quick mill espresso machine parts,5,3,60,57,8.33%,5.26%,4.88,5.16
mini vivaldi s1,5,3,58,62,8.62%,4.84%,3.4,4.02
vesuvius espresso v2,5,12,53,107,9.43%,11.21%,3.08,3.19
cafelat pitcher,5,0,51,0,9.8%,0%,6.49,0
group head thermometer,5,2,49,14,10.2%,14.29%,6.65,5.21
christ coffee,5,4,47,33,10.64%,12.12%,7.3,6.45
quick mill evo 70,5,0,45,0,11.11%,0%,4.58,0
compak k3 hopper,5,2,44,34,11.36%,5.88%,6.09,4.74
quick mill evo,5,4,41,46,12.2%,8.7%,4.76,6.54
la cimbali casa,5,0,35,0,14.29%,0%,4.63,0
izzo alex duetto iv plus review,5,0,33,0,15.15%,0%,3.88,0
e61 bottomless portafilter wood,5,0,18,0,27.78%,0%,9.06,0
unic portafilter,5,0,15,0,33.33%,0%,2.13,0
gs3,4,7,6690,6438,0.06%,0.11%,9.53,9.52
quickmill,4,10,1161,1294,0.34%,0.77%,17.85,17.84
rocket espresso machine,4,3,1117,1088,0.36%,0.28%,25.95,27.42
calibrated tamper,4,2,683,584,0.59%,0.34%,12.83,13.14
mahlkonig k30,4,7,590,452,0.68%,1.55%,13.51,11.19
gs3 mp,4,7,519,583,0.77%,1.2%,7.78,8.43
mazzer mini electronic,4,3,509,490,0.79%,0.61%,27.25,29.43
linea mini espresso machine,4,2,427,733,0.94%,0.27%,10.19,8.99
slayer coffee,4,1,422,572,0.95%,0.17%,6.55,7.94
espro calibrated tamper,4,4,399,379,1%,1.06%,10.31,11.57
la marzocco gs3 av,4,3,380,163,1.05%,1.84%,14.08,14.02
rocket appartamento review,4,7,313,234,1.28%,2.99%,17.75,15.35
baristapro,4,2,297,236,1.35%,0.85%,9.08,9.07
slayer espresso machine price,4,5,287,413,1.39%,1.21%,8.9,9.21
prosumer espresso machine,4,0,240,0,1.67%,0%,26.71,0
commercial coffee maker repair near me,4,2,227,109,1.76%,1.83%,10.31,10.64
coffee machine repair,4,9,215,251,1.86%,3.59%,26.87,16.75
espresso machine dealers,4,6,198,342,2.02%,1.75%,14.87,10.22
eureka specialita,4,0,183,0,2.19%,0%,19.88,0
water softener for coffee machine,4,5,178,210,2.25%,2.38%,22.38,14.92
s1 vivaldi ii,4,6,173,147,2.31%,4.08%,3.55,4.53
mahlkönig ek43s,4,3,171,156,2.34%,1.92%,16.82,12.68
peak espresso grinder,4,3,168,147,2.38%,2.04%,4.41,4.35
vivaldi ii espresso machine,4,5,158,109,2.53%,4.59%,5.54,5.91
parts of a coffee grinder,4,5,156,159,2.56%,3.14%,7.67,8
la marzocco gs3 used,4,2,152,106,2.63%,1.89%,13.18,14.69
ek43s price,4,6,129,125,3.1%,4.8%,5.07,5.2
e37s ceado,4,2,127,52,3.15%,3.85%,6.39,6.52
slayer single group price,4,1,122,229,3.28%,0.44%,11.02,9.38
spaziale vivaldi s1,4,7,121,74,3.31%,9.46%,3.93,4.36
la marzocco gs3 for sale,4,3,111,63,3.6%,4.76%,10.49,10.92
e61 group head parts,4,9,110,87,3.64%,10.34%,11.05,8.1
unic stella epic,4,2,109,43,3.67%,4.65%,4.8,7.26
coffee repair near me,4,0,105,0,3.81%,0%,5.76,0
espresso machine shower screen,4,0,98,0,4.08%,0%,3.83,0
nuova simonelli bottomless portafilter,4,11,98,95,4.08%,11.58%,6.04,6.98
mahlkonig ek43s review,4,3,95,50,4.21%,6%,6.07,6.22
la spaziale mini,4,0,94,0,4.26%,0%,6.48,0
f64 evo coffee grinder,4,0,91,0,4.4%,0%,4.58,0
shower screen espresso machine,4,0,91,0,4.4%,0%,4.64,0
s1 dream,4,3,80,31,5%,9.68%,5.14,6.19
compak k10 pro barista,4,2,76,55,5.26%,3.64%,7.99,8.87
manual coffee grinder parts,4,5,74,54,5.41%,9.26%,10.65,10.87
alex duetto parts,4,5,69,60,5.8%,8.33%,5.88,6.48
casadio enea on demand,4,5,68,138,5.88%,3.62%,9.03,6.22
vetrano espresso machine,4,11,66,49,6.06%,22.45%,2.42,2.86
quick mill 3240,4,0,66,0,6.06%,0%,21.17,0
fiorenzato f64 evo espresso grinder,4,2,65,38,6.15%,5.26%,3.08,3.95
rocket espresso milano giotto evoluzione,4,0,65,0,6.15%,0%,5.8,0
bloomfield 8572,4,2,64,29,6.25%,6.9%,11.8,11.93
alex izzo duetto,4,6,60,53,6.67%,11.32%,6.08,5.06
bottomless portafilter e61,4,9,59,59,6.78%,15.25%,3.81,3.39
casadio undici compact,4,0,58,0,6.9%,0%,3.31,0
coffee repair shop near me,4,3,58,52,6.9%,5.77%,8.07,7.6
e61 temperature gauge,4,3,57,14,7.02%,21.43%,6.82,16.57
la cimbali portafilter,4,4,55,40,7.27%,10%,6.22,6.97
quick mill vetrano 2b evo review,4,6,54,69,7.41%,8.7%,3.83,3.03
vst 15g basket,4,3,54,37,7.41%,8.11%,6.81,5.92
rocket r nine one vs gs3,4,7,53,69,7.55%,10.14%,4.06,3.87
quick mill carola review,4,12,52,54,7.69%,22.22%,2.25,3.3
fiorenzato f4 e nano,4,4,50,90,8%,4.44%,16.2,10.66
anita evo,4,3,49,19,8.16%,15.79%,1.84,2
rocket r9 one vs gs3,4,0,48,0,8.33%,0%,4,0
rocket espresso plumbing kit,4,0,48,0,8.33%,0%,7.23,0
espresso spoons made in italy,4,5,48,83,8.33%,6.02%,10.46,6.98
quick mill pulsor,4,0,47,0,8.51%,0%,2.94,0
silvano espresso,4,2,46,31,8.7%,6.45%,5.2,6.29
paddle espresso machine,4,1,46,211,8.7%,0.47%,7.72,7.53
ims nanotech e61 shower screen,4,0,45,0,8.89%,0%,9.67,0
casadio undici a2 price,4,2,41,46,9.76%,4.35%,3.88,3.33
profitec steam tip,4,4,41,36,9.76%,11.11%,9.85,7.22
single dose hopper,4,0,40,0,10%,0%,6,0
motta steaming pitcher,4,3,39,29,10.26%,10.34%,3.08,3.45
spaziale dream,4,4,39,26,10.26%,15.38%,4.64,6.85
rancilio silvia 110v boiler & heating element,4,0,38,0,10.53%,0%,5.63,0
izzo pompei espresso machine,4,0,37,0,10.81%,0%,7.43,0
compak grinder parts,4,0,33,0,12.12%,0%,12.12,0
andreja premium profiles,4,0,32,0,12.5%,0%,1.41,0
ceado e5p price,4,0,31,0,12.9%,0%,3.61,0
silvano coffee machine,4,0,29,0,13.79%,0%,2.9,0
15g vst basket,4,3,28,17,14.29%,17.65%,5.36,4.71
nanotech shower screen,4,0,24,0,16.67%,0%,5.54,0
laspaziale dream,4,0,23,0,17.39%,0%,4.87,0
e61 gasket kit,4,12,17,37,23.53%,32.43%,2.29,1.89
what is a vst basket,4,0,17,0,23.53%,0%,3.06,0
la marzocco steam tip,4,0,17,0,23.53%,0%,12.53,0
undici espresso machine,4,0,15,0,26.67%,0%,3,0
quickmill anita evo,4,0,14,0,28.57%,0%,1.86,0
barista pro baskets,4,0,5,0,80%,0%,1.8,0
la marzocco,3,9,4128,2819,0.07%,0.32%,18.7,22.88
slayer coffee machine,3,3,1243,899,0.24%,0.33%,7.51,10.11
appartamento,3,0,647,0,0.46%,0%,8.39,0
blendtec connoisseur 825,3,6,543,571,0.55%,1.05%,9.46,8.47
casadio coffee machine,3,1,422,239,0.71%,0.42%,2.97,5.89
ceado coffee grinder,3,4,384,391,0.78%,1.02%,9.24,8.37
peak coffee grinder,3,1,332,272,0.9%,0.37%,5.78,5.75
blendtec rapid rinser,3,3,305,284,0.98%,1.06%,8.21,7.77
victoria arduino mythos 2,3,0,262,0,1.15%,0%,7.71,0
slayer 1 group,3,4,255,369,1.18%,1.08%,9.01,8.62
vivaldi ii,3,8,245,254,1.22%,3.15%,8.44,9.33
steam tip,3,7,236,234,1.27%,2.99%,2.32,2.97
ceado grinders,3,10,209,248,1.44%,4.03%,8.26,8.17
coffee repair,3,0,195,0,1.54%,0%,13.3,0
rocket espresso r nine one,3,11,187,232,1.6%,4.74%,20.61,10.49
victoria arduino athena leva,3,9,177,150,1.69%,6%,6.71,7.4
coffee maker repair near me,3,2,172,105,1.74%,1.9%,12.78,9.32
ceado e37sd price,3,6,169,82,1.78%,7.32%,6.35,5.55
motta knock box,3,0,166,0,1.81%,0%,15.36,0
rancilio silvia heating element,3,2,164,139,1.83%,1.44%,13.6,10.86
la spaziale s1 mini vivaldi,3,4,157,150,1.91%,2.67%,9.04,10.54
compak e5 grinder,3,6,154,151,1.95%,3.97%,5.44,5.5
coffee repair service,3,5,149,106,2.01%,4.72%,2.58,4.35
mahlkonig k30 air,3,0,146,0,2.05%,0%,8.37,0
reg barber,3,2,145,171,2.07%,1.17%,35.63,39.22
fiorenzato f64evo,3,2,143,94,2.1%,2.13%,7.27,6.83
quick mill silvano evo review,3,9,142,97,2.11%,9.28%,5.74,4.63
fiorenzato f4e nano v2,3,3,142,94,2.11%,3.19%,6.38,5.85
joe frex scale,3,5,134,103,2.24%,4.85%,6.14,4.83
flojet espresso,3,2,132,141,2.27%,1.42%,14.52,14.9
espresso water filter,3,0,132,0,2.27%,0%,15.72,0
gigleur,3,0,131,0,2.29%,0%,10.05,0
mazzer super jolly e,3,0,129,0,2.33%,0%,11.03,0
steaming pitchers,3,0,128,0,2.34%,0%,5.57,0
e37j,3,3,126,105,2.38%,2.86%,5.98,6.12
rocket giotto evo r,3,6,123,119,2.44%,5.04%,6.06,6.34
cheapest double boiler espresso machine,3,3,114,118,2.63%,2.54%,6.66,4.99
baratza sette 270wi review,3,6,111,94,2.7%,6.38%,12.5,11.18
espresso machine maintenance near me,3,0,108,0,2.78%,0%,11.73,0
slayer espresso machines,3,0,108,0,2.78%,0%,12.81,0
f64 grinder,3,6,107,80,2.8%,7.5%,3.97,3.73
mythos ii,3,3,101,94,2.97%,3.19%,9.4,7.6
baristapro nanotech basket,3,6,99,62,3.03%,9.68%,8.34,7.82
silvia boiler,3,0,93,0,3.23%,0%,17.69,0
single dose grinder,3,0,93,0,3.23%,0%,23.11,0
quick mill monza deluxe,3,8,89,71,3.37%,11.27%,3.51,4.23
mahlkonig peak price,3,2,89,53,3.37%,3.77%,6.2,5.36
mahlkonig hopper,3,3,88,103,3.41%,2.91%,5.77,5.25
alex duetto evo,3,18,88,78,3.41%,23.08%,6.24,4.78
mahlkonig peak review,3,4,87,62,3.45%,6.45%,7.49,7.5
motta frothing pitcher,3,5,84,58,3.57%,8.62%,7.14,8.57
quickmill andreja profiles,3,0,83,0,3.61%,0%,9.05,0
alex duetto iii,3,0,82,0,3.66%,0%,9.39,0
espresso machine maintenance company,3,0,82,0,3.66%,0%,12.46,0
coffee machine water pressure regulator,3,9,80,73,3.75%,12.33%,4.56,2.49
quick mill dual boiler,3,11,80,82,3.75%,13.41%,7.29,3.1
cafelat tamping mat,3,0,78,0,3.85%,0%,8.36,0
alex duetto coffee machine,3,0,77,0,3.9%,0%,5.88,0
rocket r58 parts,3,4,77,67,3.9%,5.97%,8.9,7.93
anita coffee machine,3,0,73,0,4.11%,0%,2.89,0
vivi pid,3,2,73,63,4.11%,3.17%,4.85,5.71
eureka mignon specialita espresso grinder,3,0,68,0,4.41%,0%,9.53,0
izzo vivi pid plus,3,2,66,53,4.55%,3.77%,4.91,6.08
espresso machine servicing near me,3,0,66,0,4.55%,0%,8.26,0
e61 portafilter size,3,2,65,62,4.62%,3.23%,9.77,5.87
portland espresso machines,3,0,64,0,4.69%,0%,8.14,0
victoria arduino black eagle 3 group,3,0,63,0,4.76%,0%,10.67,0
coffee maker service near me,3,0,61,0,4.92%,0%,10.62,0
caedo e37s,3,4,60,53,5%,7.55%,5.88,5.92
mahlkönig guatemala,3,0,60,0,5%,0%,7.37,0
eureka mignon specialita retention,3,0,59,0,5.08%,0%,7.39,0
quickmill parts,3,6,59,45,5.08%,13.33%,7.51,6.71
rocket mozzafiato evoluzione r review,3,5,59,98,5.08%,5.1%,10.58,8.35
rancilio silvia e61,3,0,58,0,5.17%,0%,7.09,0
la cimbali junior s1,3,0,58,0,5.17%,0%,12.31,0
eureka mignon specialita review,3,0,58,0,5.17%,0%,23.45,0
cimbali jr,3,3,57,61,5.26%,4.92%,1.37,3.02
quick mill andreja premium espresso machine,3,0,54,0,5.56%,0%,3.24,0
vivaldi mini,3,2,54,31,5.56%,6.45%,4.06,4
izzo alex duetto iv pro,3,3,54,63,5.56%,4.76%,4.11,3.67
faema e61 1 group,3,0,53,0,5.66%,0%,9.7,0
la spaziale espresso machine manual,3,0,51,0,5.88%,0%,5.76,0
casadio a2,3,0,48,0,6.25%,0%,5.33,0
water softener espresso machine,3,0,48,0,6.25%,0%,8.25,0
bottomless portafilter rancilio silvia,3,4,47,40,6.38%,10%,7.98,9.97
espresso repair service,3,0,45,0,6.67%,0%,17.24,0
f64evo grinder,3,0,44,0,6.82%,0%,5.25,0
ims baristapro,3,0,44,0,6.82%,0%,9.64,0
la spaziale mini vivaldi ii parts,3,0,42,0,7.14%,0%,7.05,0
mythos 2 gravimetric,3,0,42,0,7.14%,0%,8.12,0
bristot buongusto,3,3,42,48,7.14%,6.25%,9,9.73
casadio undici a2 review,3,4,41,17,7.32%,23.53%,3.2,1.82
quick mill andreja premium evo review,3,0,41,0,7.32%,0%,5.2,0
ims shower screen e61,3,0,41,0,7.32%,0%,8.1,0
buy espresso machine online,3,0,40,0,7.5%,0%,23.6,0
ep precision basket,3,0,39,0,7.69%,0%,8.13,0
la spaziale mini vivaldi.,3,0,37,0,8.11%,0%,3.49,0
single boiler pid espresso machine,3,0,37,0,8.11%,0%,8.92,0
fiorenzato f64 evo xgi,3,2,37,46,8.11%,4.35%,15.62,9.78
baristapro 20g nanotech precision portafilter basket,3,0,35,0,8.57%,0%,5.17,0
vst 22g basket,3,0,34,0,8.82%,0%,6.03,0
cimbali portafilter,3,0,32,0,9.38%,0%,6.53,0
stella epic,3,0,30,0,10%,0%,4.77,0
barista steam pitcher,3,0,30,0,10%,0%,8.5,0
compak e5 single dosing,3,0,29,0,10.34%,0%,5.76,0
mavea c300,3,5,29,36,10.34%,13.89%,10.79,8.61
italian espresso spoons,3,2,28,36,10.71%,5.56%,21.86,15
vst baskets espresso,3,0,27,0,11.11%,0%,5.37,0
motta pitchers,3,0,27,0,11.11%,0%,6.33,0
la marzocco linea mini parts,3,0,27,0,11.11%,0%,10.19,0
vst ridgeless,3,5,26,44,11.54%,11.36%,7.85,6.23
quickmill 67,3,3,25,25,12%,12%,3.12,4.48
fiorenzato f83e xgi,3,2,25,33,12%,6.06%,5.52,6.27
f4e nano,3,0,24,0,12.5%,0%,15.42,0
naked portafilter e61,3,0,19,0,15.79%,0%,6.95,0
eric's thermometer for exposed e61 groups,3,8,18,27,16.67%,29.63%,2.72,4.52
ims barista pro basket,3,0,16,0,18.75%,0%,3.81,0
la spaziale vivaldi s1 manual,3,0,15,0,20%,0%,2.73,0
quickmill evo 70,3,2,14,14,21.43%,14.29%,8.14,10.86
compak single dose cup,3,0,8,0,37.5%,0%,2.38,0
la spaziale s1 vivaldi ii manual,3,0,6,0,50%,0%,1,0
chris coffee black friday,3,2,6,2,50%,100%,2,1
pressure regulator,2,0,16251,0,0.01%,0%,9.91,0
coffee grinder,2,0,5052,0,0.04%,0%,66.63,0
espresso machine,2,3,3428,4637,0.06%,0.06%,81.54,78.72
commercial espresso machine,2,0,3200,0,0.06%,0%,46.53,0
espresso tamper,2,2,1562,2033,0.13%,0.1%,38.64,29.47
mazzer,2,0,1087,0,0.18%,0%,32.36,0
baratza sette 270,2,5,870,986,0.23%,0.51%,28.37,22.64
mythos 2,2,0,753,0,0.27%,0%,9.17,0
baratza vario w,2,0,690,0,0.29%,0%,10.26,0
nuova simonelli grinder,2,6,662,742,0.3%,0.81%,11.94,9.99
commercial espresso grinder,2,1,479,438,0.42%,0.23%,35.35,42.97
nuova simonelli oscar ii,2,0,456,0,0.44%,0%,28.76,0
eureka mignon,2,0,452,0,0.44%,0%,29.09,0
rocket espresso r58,2,3,400,981,0.5%,0.31%,21.87,13.52
nuova simonelli mythos,2,2,395,321,0.51%,0.62%,7.43,8.7
spring lever,2,1,391,277,0.51%,0.36%,5.65,7
izzo espresso machine,2,6,299,367,0.67%,1.63%,8.42,6.46
baratza 270wi,2,5,294,323,0.68%,1.55%,9.93,9.5
mignon specialita,2,0,277,0,0.72%,0%,13.52,0
ek43 mahlkonig,2,6,267,362,0.75%,1.66%,8.15,6.37
linea mini price,2,0,248,0,0.81%,0%,9.17,0
k30 twin,2,1,241,277,0.83%,0.36%,16.57,12.99
appartamento espresso machine,2,0,235,0,0.85%,0%,8.26,0
ek43 coffee grinder,2,0,233,0,0.86%,0%,7.73,0
rocket espresso mozzafiato,2,4,228,332,0.88%,1.2%,21.5,15.82
commercial coffee maker repair,2,0,226,0,0.88%,0%,12.55,0
ceado 37s,2,4,222,187,0.9%,2.14%,14.06,13.4
la marzocco linea mini price,2,0,221,0,0.9%,0%,9.78,0
keurig k150p,2,1,214,182,0.93%,0.55%,34.07,22.26
parts of coffee grinder machine,2,1,209,293,0.96%,0.34%,8.62,8.71
slayer espresso single group,2,6,192,470,1.04%,1.28%,12.78,10.01
simonelli mythos,2,1,188,212,1.06%,0.47%,7.69,8.18
giotto evoluzione,2,0,181,0,1.1%,0%,13.15,0
andreja espresso machine,2,5,179,165,1.12%,3.03%,2.74,3.13
compak k10,2,12,179,456,1.12%,2.63%,14.58,7.69
double boiler espresso machines,2,1,177,187,1.13%,0.53%,7.56,7.04
dual boiler espresso,2,3,166,223,1.2%,1.35%,22.55,14.93
andreja premium by quick mill,2,3,165,141,1.21%,2.13%,2.18,2.47
pressure stat,2,0,159,0,1.26%,0%,6.36,0
espresso grinder parts,2,2,156,187,1.28%,1.07%,8.17,7.23
curtis g3 brewer,2,3,150,135,1.33%,2.22%,9.5,9.64
cafelat knock box,2,5,147,151,1.36%,3.31%,11.14,7.74
coffee grinder tray,2,0,139,0,1.44%,0%,8.68,0
compak e5 od,2,0,137,0,1.46%,0%,8.75,0
baratza sette 270wi espresso grinder,2,0,134,0,1.49%,0%,8.75,0
coffee machine service and repair,2,5,132,74,1.52%,6.76%,3.48,4.14
spaziale s1,2,3,129,93,1.55%,3.23%,5.39,8.31
mahlkonig ek43 price,2,0,126,0,1.59%,0%,9.01,0
ulka pumps,2,0,126,0,1.59%,0%,14.94,0
simonelli mythos grinder,2,0,123,0,1.63%,0%,8.4,0
baratza encore grinder,2,2,114,245,1.75%,0.82%,68.46,33.24
compak e5 review,2,4,111,60,1.8%,6.67%,6.23,5.98
ek43 vs ek43s,2,0,110,0,1.82%,0%,7.25,0
fiorenzato f4 nano,2,5,110,140,1.82%,3.57%,10.88,7.35
quickmill monza,2,6,108,108,1.85%,5.56%,15.68,11.13
guatemala grinder,2,4,107,89,1.87%,4.49%,3.61,3.33
s1 mini vivaldi,2,7,106,110,1.89%,6.36%,7.76,8.37
mahlkonig e65s price,2,2,104,92,1.92%,2.17%,8.81,7.62
cafelat mirror tamping stand,2,2,103,199,1.94%,1.01%,5.23,2.55
rocket giotto evoluzione r review,2,5,101,75,1.98%,6.67%,7.15,6
simonelli g60,2,3,100,61,2%,4.92%,4.64,3.26
baratza vario steel burrs,2,5,100,118,2%,4.24%,9.91,9.58
plumbed superautomatic espresso machine,2,0,100,0,2%,0%,10.68,0
anita coffee,2,0,99,0,2.02%,0%,6.04,0
la spaziale vivaldi 2,2,0,98,0,2.04%,0%,6.65,0
slayer espresso machine for sale,2,4,95,108,2.11%,3.7%,13.28,11.24
rocket faustino,2,0,95,0,2.11%,0%,29.31,0
mazzer super jolly price,2,3,94,35,2.13%,8.57%,6.85,8.66
mahlkonig guatemala 710,2,2,93,57,2.15%,3.51%,7.39,5.63
prosumer espresso machines,2,0,91,0,2.2%,0%,24.31,0
vst coffee basket,2,4,87,98,2.3%,4.08%,7.1,6.21
ceado espresso grinder,2,0,87,0,2.3%,0%,8.11,0
simonelli g60 grinder,2,3,85,50,2.35%,6%,4.67,3.46
unic mira espresso machine,2,0,85,0,2.35%,0%,5.41,0
rocket r58 review,2,4,85,121,2.35%,3.31%,18.16,13.23
vivaldi espresso,2,2,83,57,2.41%,3.51%,4.67,7.21
mazzer robur s electronic,2,0,81,0,2.47%,0%,8.47,0
mignon grinder,2,0,81,0,2.47%,0%,14,0
single boiler vs double boiler,2,2,80,82,2.5%,2.44%,7.81,7.93
chicago electric timer,2,0,79,0,2.53%,0%,8.42,0
ceado e37s quick set,2,0,79,0,2.53%,0%,9.08,0
quick mill carola 0960,2,2,78,38,2.56%,5.26%,4.86,6.97
vivaldi 2 espresso machine,2,2,77,19,2.6%,10.53%,4.95,5.68
g60 grinder,2,5,77,109,2.6%,4.59%,5.14,3.83
slayer portafilter,2,4,77,52,2.6%,7.69%,8.7,9.94
la marzocco gs3 av review,2,0,76,0,2.63%,0%,8.83,0
ims nanotech shower screen,2,3,75,62,2.67%,4.84%,8.92,9.39
vst ridgeless basket,2,6,74,73,2.7%,8.22%,6.12,5.44
la marzoco linea mini,2,0,74,0,2.7%,0%,9.22,0
undici a2,2,3,73,53,2.74%,5.66%,4.89,3.96
quickmill carola evo,2,6,72,45,2.78%,13.33%,6.85,7.96
ceado e37s price,2,2,71,53,2.82%,3.77%,5.44,5.81
ulka efx5,2,0,71,0,2.82%,0%,8.55,0
ims precision basket,2,0,68,0,2.94%,0%,7.5,0
hot water wand,2,3,66,56,3.03%,5.36%,5.3,4.66
vst espresso,2,0,66,0,3.03%,0%,6.53,0
cappuccino machine repair near me,2,0,66,0,3.03%,0%,7.05,0
carola quick mill,2,3,65,34,3.08%,8.82%,4.78,7.53
quick mill coffee,2,0,65,0,3.08%,0%,8.66,0
ceado e37s canada,2,0,64,0,3.12%,0%,9.81,0
monza deluxe,2,7,63,67,3.17%,10.45%,3.6,3.25
espresso water filter system,2,5,63,55,3.17%,9.09%,10,9.09
vst portafilter,2,0,62,0,3.23%,0%,7.24,0
f64evo,2,5,61,72,3.28%,6.94%,5.54,6.21
coffee equipment portland,2,0,61,0,3.28%,0%,7.2,0
cafelat corner tamping mat,2,0,61,0,3.28%,0%,7.98,0
coffee equipment nyc,2,0,61,0,3.28%,0%,10.1,0
industrial coffee filter,2,0,61,0,3.28%,0%,10.39,0
s1 espresso machine,2,6,60,61,3.33%,9.84%,2.7,3.75
laspaziale s1,2,0,60,0,3.33%,0%,4.55,0
cafelat milk pitcher,2,2,60,63,3.33%,3.17%,7.92,9.37
eureka mignon specialita grinder,2,0,60,0,3.33%,0%,13.52,0
quickmill carola 0960,2,0,59,0,3.39%,0%,5.02,0
qm67 espresso,2,4,58,57,3.45%,7.02%,3.1,2.82
group gaskets,2,0,58,0,3.45%,0%,5.83,0
quickmill qm67 evo,2,7,57,52,3.51%,13.46%,5.72,6.98
single vs dual boiler espresso,2,3,56,22,3.57%,13.64%,7.39,7.05
eccellenza italiana dal 1912 price,2,0,56,0,3.57%,0%,9.29,0
izzo alex duetto evo,2,10,55,82,3.64%,12.2%,4.98,5.51
compak e5 espresso grinder,2,3,55,42,3.64%,7.14%,5.13,4.83
shower screen coffee machine,2,0,55,0,3.64%,0%,5.58,0
rapid rinser station,2,0,55,0,3.64%,0%,5.91,0
commercial coffee machine repair,2,0,55,0,3.64%,0%,12.29,0
andreja quick mill,2,2,54,32,3.7%,6.25%,2.87,3.19
vivi espresso machine,2,0,53,0,3.77%,0%,3.85,0
italian espresso grinder,2,0,52,0,3.85%,0%,5.67,0
double boiler home espresso machine,2,0,52,0,3.85%,0%,10.37,0
compak e6 grinder,2,2,52,38,3.85%,5.26%,13.69,9.63
rocket mozzafiato review,2,5,51,57,3.92%,8.77%,12.47,10
4 hole steam tip,2,8,50,30,4%,26.67%,5.06,3.33
compak f10 grinder,2,3,50,45,4%,6.67%,10.32,5.67
la spaziale dream espresso machine,2,0,49,0,4.08%,0%,3.84,0
malkonig peak,2,0,49,0,4.08%,0%,5.98,0
quickmill espresso machine,2,4,49,37,4.08%,10.81%,6.24,7.41
dual boiler coffee machine,2,3,49,98,4.08%,3.06%,31.16,17.22
la cimbali junior dt1,2,2,48,41,4.17%,4.88%,3.25,8.17
e61 naked portafilter,2,7,48,56,4.17%,12.5%,6.12,5.41
carola evo,2,6,47,53,4.26%,11.32%,5.57,6.43
caedo e5p,2,0,47,0,4.26%,0%,5.79,0
spring lever espresso machine,2,0,47,0,4.26%,0%,13.66,0
vesuvius espresso review,2,0,45,0,4.44%,0%,3.87,0
e37t,2,0,45,0,4.44%,0%,5.02,0
ceado grinder e37s,2,0,45,0,4.44%,0%,6.84,0
f64e grinder,2,3,45,117,4.44%,2.56%,6.93,5.74
athena leva,2,0,45,0,4.44%,0%,7.73,0
coffee maker tubing,2,0,44,0,4.55%,0%,9.23,0
sette 270 espresso setting,2,0,44,0,4.55%,0%,10.39,0
fiorenzato f83e,2,0,44,0,4.55%,0%,10.68,0
quick mill dual boiler qm67 evo,2,0,42,0,4.76%,0%,3.17,0
mahlkonig guatemala burrs,2,0,41,0,4.88%,0%,10.78,0
ceado e37j electronic coffee grinder,2,0,40,0,5%,0%,7.62,0
spaziale mini vivaldi,2,0,39,0,5.13%,0%,4.41,0
hibiscus latte,2,2,38,64,5.26%,3.12%,11.61,10.98
dual boiler home espresso machine,2,0,38,0,5.26%,0%,13.26,0
mazzer major doser,2,0,37,0,5.41%,0%,7.35,0
group head cleaning brush,2,2,37,40,5.41%,5%,10.43,12.43
large tamping mat,2,0,36,0,5.56%,0%,7,0
e37j ceado,2,0,35,0,5.71%,0%,6.06,0
dual boiler pid espresso machine,2,0,35,0,5.71%,0%,20.4,0
e37sd grinder,2,2,34,58,5.88%,3.45%,5.09,6.5
linea mini sale,2,0,34,0,5.88%,0%,9.26,0
cheap dual boiler espresso machine,2,0,34,0,5.88%,0%,13.09,0
online espresso machine,2,0,33,0,6.06%,0%,11.45,0
fiorenzato xgi,2,0,32,0,6.25%,0%,11.12,0
faema e61 single group,2,4,32,29,6.25%,13.79%,17.81,12.21
wdt cup,2,0,31,0,6.45%,0%,9.55,0
izzo vivi pro,2,2,30,55,6.67%,3.64%,3.97,5.18
vst 18g ridgeless basket,2,0,30,0,6.67%,0%,6.9,0
la speziale dream,2,0,30,0,6.67%,0%,7.63,0
online espresso machine sales,2,4,30,37,6.67%,10.81%,11.87,10.46
ims the single,2,0,30,0,6.67%,0%,12.93,0
portafilter gauge,2,0,29,0,6.9%,0%,8.59,0
e61 group head gasket kit,2,0,29,0,6.9%,0%,10.45,0
reg barber tampers,2,0,29,0,6.9%,0%,19.48,0
e61 group head service kit,2,0,29,0,6.9%,0%,20.83,0
slayer price,2,0,28,0,7.14%,0%,7.25,0
20 amp to 15 amp converter,2,0,28,0,7.14%,0%,8.36,0
mazzer robur s review,2,0,28,0,7.14%,0%,9.68,0
rocket espresso parts,2,0,27,0,7.41%,0%,19.19,0
blendtec connoisseur 825 blender,2,2,26,35,7.69%,5.71%,7.92,6.57
mazzer robur s price,2,0,26,0,7.69%,0%,8.81,0
coffee machines repair service,2,0,26,0,7.69%,0%,20.58,0
quick mill pid,2,3,25,17,8%,17.65%,6.88,6.12
vetrano 2b evo espresso machine,2,0,24,0,8.33%,0%,2.17,0
spring lever espresso,2,0,24,0,8.33%,0%,9.79,0
casadio enea od,2,0,23,0,8.7%,0%,6.83,0
quick mill lever,2,0,23,0,8.7%,0%,7.52,0
compak pkf,2,2,23,15,8.7%,13.33%,19.52,16.47
